id,title,id,attachment_name,id,created,updated,description,exercise_id,user_id,username
3,"Zadanie psychotechniczne",NULL,NULL,9,"2017-12-24 16:43:22","2017-12-24 16:43:22","U pilota - tym samym nie może już być pilotem, jest więc nawigatorem. Wobec tego, że Ptak zarabia 2000 złotych (tyle, ile zarabia stewardessa), więc nie może być najbliższym jego sąsiadem. Ptak musi przeto mieszkać w Aninie. Tam zaś mieszka pasażer o nazwisku stewardessy, czyli stewardessą jest Ptak. Stąd więc nawigatorem jest Wróbel, a pilotem Góra. Logiczne, prawda?",3,5,thomas
3,"Zadanie psychotechniczne",NULL,NULL,8,"2017-12-21 16:43:22","2017-12-21 16:43:22","Ponieważ pilota - tym samym nie może już być pilotem, jest więc nawigatorem. Wobec tego, że Ptak zarabia 2000 złotych (tyle, ile zarabia stewardessa), więc nie może być najbliższym jego sąsiadem. Ptak musi przeto mieszkać w Aninie. Tam zaś mieszka pasażer o nazwisku stewardessy, czyli stewardessą jest Ptak. Stąd więc nawigatorem jest Wróbel, a pilotem Góra. Logiczne, prawda?",3,3,jeff
3,"Zadanie psychotechniczne",NULL,NULL,7,"2017-12-16 16:43:22","2017-12-16 16:43:22","Nie Ptak wygrał u pilota - tym samym nie może już być pilotem, jest więc nawigatorem. Wobec tego, że Ptak zarabia 2000 złotych (tyle, ile zarabia stewardessa), więc nie może być najbliższym jego sąsiadem. Ptak musi przeto mieszkać w Aninie. Tam zaś mieszka pasażer o nazwisku stewardessy, czyli stewardessą jest Ptak. Stąd więc nawigatorem jest Wróbel, a pilotem Góra. Logiczne, prawda?",3,2,darco
3,"Zadanie psychotechniczne",NULL,NULL,6,"2017-12-15 16:43:22","2017-12-15 16:43:22","Nawigatorem. Wobec tego, że Ptak zarabia 2000 złotych (tyle, ile zarabia stewardessa), więc nie może być najbliższym jego sąsiadem. Ptak musi przeto mieszkać w Aninie. Tam zaś mieszka pasażer o nazwisku stewardessy, czyli stewardessą jest Ptak. Stąd więc nawigatorem jest Wróbel, a pilotem Góra. Logiczne, prawda?",3,6,bobby
2,"PAST SIMPLE",NULL,NULL,5,"2017-12-07 10:33:21","2017-12-07 10:33:21","This is my answer: I  see Robert a couple of days ago and he  look well. n2. He  want to help me but he  not know how and he actually  hurt me. n3. Why  you let her go? You really  let me down. n4. Mary  break her arm and  twist her ankle in the accident last night. n5. As soon as Kate  come out of the house, Joe  run into her room,  sit on the chair,  open a drawer and  take out all her letters. nThey  be busy working so we  not disturb them. n6. She  not behave normally yesterday so I  ask her if she  feel all right but she  not answer. n7. When  you make that decision and why  you choose the second option? n8. She  not shut the door quietly but  slam it ",2,6,bobby
3,"Zadanie psychotechniczne",NULL,NULL,11,"2017-12-01 16:43:22","2017-12-01 16:43:22","Pilotem, jest więc nawigatorem. Wobec tego, że Ptak zarabia 2000 złotych (tyle, ile zarabia stewardessa), więc nie może być najbliższym jego sąsiadem. Ptak musi przeto mieszkać w Aninie. Tam zaś mieszka pasażer o nazwisku stewardessy, czyli stewardessą jest Ptak. Stąd więc nawigatorem jest Wróbel, a pilotem Góra. Logiczne, prawda?",3,6,bobby
5,"Ludożercy i misjonarze",NULL,NULL,15,"2017-01-10 12:28:22","2017-01-10 12:28:22","Dwóch ludożerców znajduje się na drugim brzegu rzeki. Z kolei wiosłujący ludożerca powraca i wysiada na tym brzegu. Dwóch misjonarzy wsiada do łódki i przejeżdża na drugą stronę rzeki. Jeden zostaje tam, a drugi powraca z jednym ludożercą. Następnie jeden misjonarz zabiera na drugi brzeg ludożercę",5,6,bobby
5,"Ludożercy i misjonarze",NULL,NULL,14,"2017-01-10 11:08:22","2017-01-10 11:08:22","Wiosłujący ludożerca zabiera na drugi brzeg drugiego ludożercę i wraca po trzeciego. Teraz dwóch ludożerców znajduje się na drugim brzegu rzeki. Z kolei wiosłujący ludożerca powraca i wysiada na tym brzegu. Dwóch misjonarzy wsiada do łódki i przejeżdża na drugą stronę rzeki. Jeden zostaje tam, a drugi powraca z jednym ludożercą. Następnie jeden misjonarz zabiera na drugi brzeg ludożercę",5,4,maria
4,Żarówka,NULL,NULL,13,"2017-01-05 15:08:22","2017-01-05 15:08:22","Nie może być najbliższym jego sąsiadem. Ptak musi przeto mieszkać w Aninie. Tam zaś mieszka pasażer o nazwisku stewardessy, czyli stewardessą jest Ptak. Stąd więc nawigatorem jest Wróbel, a pilotem Góra. Logiczne, prawda?",4,5,thomas
4,Żarówka,NULL,NULL,12,"2017-01-05 12:51:22","2017-01-05 12:51:22","Wobec tego, że Ptak zarabia 2000 złotych (tyle, ile zarabia stewardessa), więc nie może być najbliższym jego sąsiadem. Ptak musi przeto mieszkać w Aninie. Tam zaś mieszka pasażer o nazwisku stewardessy, czyli stewardessą jest Ptak. Stąd więc nawigatorem jest Wróbel, a pilotem Góra. Logiczne, prawda?",4,3,jeff
6,"Jak podzielić?",NULL,NULL,16,"2017-01-02 14:28:22","2017-01-02 14:28:22","synów dał z okazji  synowi 60 zł i rzekł cokolwiek jako odpowiedz",6,6,bobby
